ZIPCODE,Persons2019,PedCycl2019,Persons2020,PedCycl2020,Hood
11207,862.0,169,762.0,150.0,East New York and New Lots
11236,791.0,134,686.0,132.0,Canarsie and Flatlands
11203,772.0,145,524.0,116.0,Flatbush
11212,759.0,221,541.0,167.0,Central Brooklyn
11208,641.0,131,474.0,111.0,East New York and New Lots
11234,640.0,118,416.0,77.0,Canarsie and Flatlands
11434,588.0,85,388.0,56.0,Jamaica
11226,535.0,204,444.0,154.0,Flatbush
11385,501.0,154,414.0,146.0,West Central Queens
11233,484.0,132,369.0,104.0,Central Brooklyn
10467,463.0,115,281.0,97.0,Bronx Park and Fordham
10469,461.0,71,336.0,67.0,Northeast Bronx
11420,443.0,62,216.0,31.0,Southwest Queens
11210,439.0,139,300.0,81.0,Flatbush
11413,436.0,46,277.0,25.0,Southeast Queens
11368,435.0,171,364.0,181.0,West Queens
10466,404.0,94,342.0,82.0,Northeast Bronx
11206,386.0,172,286.0,151.0,Bushwick and Williamsburg
11230,385.0,125,259.0,107.0,Borough Park
11422,382.0,29,212.0,20.0,Southeast Queens
11377,379.0,113,248.0,96.0,West Queens
11101,377.0,91,278.0,101.0,Northwest Queens
11201,358.0,129,228.0,111.0,Northwest Brooklyn
10451,346.0,116,276.0,102.0,High Bridge and Morrisania
11235,346.0,152,266.0,119.0,Southern Brooklyn
10457,338.0,93,297.0,100.0,Central Bronx
11220,335.0,147,208.0,101.0,Sunset Park
11373,335.0,158,235.0,112.0,West Queens
11432,334.0,99,225.0,81.0,Jamaica
11213,332.0,98,219.0,78.0,Central Brooklyn
10454,323.0,84,302.0,74.0,Hunts Point and Mott Haven
10002,323.0,165,248.0,129.0,Lower East Side
11223,320.0,123,239.0,105.0,Southern Brooklyn
10461,319.0,88,182.0,74.0,Southeast Bronx
11211,319.0,139,247.0,125.0,Greenpoint
11229,313.0,138,219.0,88.0,Southern Brooklyn
10460,312.0,96,280.0,87.0,Central Bronx
11412,312.0,32,157.0,19.0,Jamaica
10468,305.0,114,293.0,103.0,Bronx Park and Fordham
10472,305.0,89,233.0,72.0,Southeast Bronx
10016,301.0,145,178.0,90.0,Gramercy Park and Murray Hill
10019,295.0,156,128.0,79.0,Chelsea and Clinton
10458,293.0,109,235.0,100.0,Bronx Park and Fordham
11218,289.0,110,219.0,99.0,Borough Park
10306,286.0,50,164.0,33.0,South Shore
11238,279.0,102,174.0,72.0,Central Brooklyn
10462,278.0,70,204.0,65.0,Southeast Bronx
11435,274.0,73,213.0,60.0,Jamaica
11411,273.0,24,132.0,13.0,Southeast Queens
11433,271.0,53,167.0,37.0,Jamaica
10455,270.0,97,225.0,84.0,Hunts Point and Mott Haven
10459,269.0,75,241.0,65.0,Hunts Point and Mott Haven
11354,269.0,124,138.0,71.0,North Queens
11219,266.0,135,195.0,115.0,Borough Park
11372,264.0,108,256.0,141.0,West Queens
11221,263.0,74,255.0,105.0,Bushwick and Williamsburg
10453,261.0,84,258.0,80.0,Central Bronx
10029,260.0,102,175.0,79.0,East Harlem
11216,257.0,86,193.0,72.0,Central Brooklyn
11355,252.0,102,130.0,67.0,North Queens
10456,250.0,95,224.0,89.0,High Bridge and Morrisania
11419,247.0,64,159.0,45.0,Southwest Queens
11204,247.0,106,205.0,92.0,Borough Park
11217,242.0,102,187.0,86.0,Northwest Brooklyn
10473,235.0,57,149.0,35.0,Southeast Bronx
10035,233.0,83,206.0,92.0,East Harlem
11375,230.0,74,135.0,57.0,West Central Queens
11417,229.0,45,156.0,23.0,Southwest Queens
11214,228.0,92,158.0,79.0,Southwest Brooklyn
10463,226.0,69,138.0,57.0,Kingsbridge and Riverdale
11215,217.0,88,174.0,77.0,Northwest Brooklyn
11237,217.0,82,137.0,56.0,Bushwick and Williamsburg
11205,211.0,83,149.0,71.0,Northwest Brooklyn
10013,211.0,93,120.0,54.0,Greenwich Village and Soho
10022,207.0,111,140.0,75.0,Gramercy Park and Murray Hill
11225,206.0,57,145.0,43.0,Flatbush
10036,206.0,122,124.0,68.0,Chelsea and Clinton
10003,203.0,141,124.0,72.0,Lower East Side
11209,202.0,94,119.0,49.0,Southwest Brooklyn
11369,200.0,45,119.0,32.0,West Queens
11429,200.0,25,125.0,17.0,Southeast Queens
10304,199.0,40,157.0,21.0,Stapleton and St. George
10001,187.0,103,136.0,80.0,Chelsea and Clinton
10010,186.0,92,98.0,52.0,Gramercy Park and Murray Hill
11691,186.0,59,146.0,33.0,Rockaways
11228,186.0,43,124.0,40.0,Southwest Brooklyn
10475,179.0,48,133.0,27.0,Northeast Bronx
11418,178.0,43,101.0,32.0,Southwest Queens
10027,178.0,70,164.0,63.0,Central Harlem
10452,177.0,57,150.0,50.0,High Bridge and Morrisania
10301,175.0,50,123.0,25.0,Stapleton and St. George
10305,169.0,39,117.0,25.0,Stapleton and St. George
10465,169.0,37,142.0,33.0,Southeast Bronx
11224,167.0,62,133.0,39.0,Southern Brooklyn
11378,166.0,38,164.0,53.0,West Queens
11374,161.0,53,88.0,37.0,West Central Queens
11358,160.0,44,70.0,17.0,North Queens
11423,160.0,25,114.0,22.0,Jamaica
11367,159.0,44,92.0,29.0,Central Queens
10011,154.0,99,86.0,59.0,Chelsea and Clinton
10017,153.0,72,89.0,48.0,Gramercy Park and Murray Hill
11421,152.0,43,102.0,31.0,Southwest Queens
10312,150.0,21,119.0,20.0,South Shore
11232,143.0,50,140.0,43.0,Sunset Park
11366,140.0,25,38.0,11.0,Central Queens
10310,138.0,23,100.0,18.0,Port Richmond
11249,137.0,59,98.0,46.0,
11222,136.0,48,111.0,60.0,Greenpoint
10470,135.0,11,117.0,23.0,Northeast Bronx
10012,135.0,83,89.0,57.0,Greenwich Village and Soho
11379,132.0,38,133.0,47.0,West Central Queens
11414,130.0,20,111.0,15.0,Southwest Queens
11436,130.0,20,83.0,10.0,Jamaica
10018,128.0,72,61.0,34.0,Chelsea and Clinton
11370,128.0,26,99.0,22.0,West Queens
10065,128.0,54,59.0,27.0,Upper East Side
11428,128.0,27,55.0,12.0,Southeast Queens
10032,121.0,61,124.0,72.0,Inwood and Washington Heights
10034,121.0,38,84.0,25.0,Inwood and Washington Heights
11365,120.0,34,48.0,13.0,Central Queens
11106,119.0,40,108.0,39.0,Northwest Queens
10033,116.0,43,112.0,48.0,Inwood and Washington Heights
11103,115.0,55,89.0,47.0,Northwest Queens
10009,114.0,69,76.0,53.0,Lower East Side
11427,113.0,28,60.0,9.0,Southeast Queens
11361,109.0,33,48.0,18.0,Northeast Queens
10023,104.0,64,81.0,56.0,Upper West Side
11231,103.0,45,85.0,27.0,Northwest Brooklyn
11104,102.0,39,72.0,30.0,Northwest Queens
10309,101.0,8,53.0,10.0,South Shore
10128,101.0,49,75.0,38.0,Upper East Side
10474,100.0,25,104.0,22.0,Hunts Point and Mott Haven
11357,99.0,16,74.0,16.0,North Queens
11105,97.0,35,58.0,32.0,Northwest Queens
11004,94.0,16,59.0,8.0,Southeast Queens
10308,90.0,11,41.0,6.0,South Shore
10021,90.0,45,44.0,29.0,Upper East Side
10026,89.0,37,120.0,57.0,Central Harlem
11416,88.0,23,91.0,21.0,Southwest Queens
11356,87.0,15,54.0,10.0,North Queens
10024,81.0,42,54.0,32.0,Upper West Side
10031,80.0,35,66.0,30.0,Inwood and Washington Heights
11102,77.0,30,76.0,28.0,Northwest Queens
10014,73.0,32,24.0,12.0,Greenwich Village and Soho
10025,73.0,36,62.0,38.0,Upper West Side
11426,71.0,5,40.0,5.0,Southeast Queens
10037,70.0,27,61.0,21.0,Central Harlem
10314,69.0,11,47.0,9.0,Mid-Island
11239,67.0,17,69.0,14.0,Canarsie and Flatlands
11415,66.0,17,42.0,17.0,Southwest Queens
10471,66.0,13,59.0,19.0,Kingsbridge and Riverdale
10030,63.0,25,68.0,32.0,Central Harlem
10038,62.0,31,33.0,17.0,Lower Manhattan
10007,62.0,37,40.0,17.0,Lower Manhattan
10028,61.0,35,46.0,27.0,Upper East Side
11692,61.0,26,46.0,12.0,Rockaways
11364,57.0,15,36.0,10.0,Northeast Queens
11693,57.0,13,44.0,14.0,Rockaways
11694,56.0,13,32.0,14.0,Rockaways
10464,54.0,4,37.0,10.0,Southeast Bronx
10040,53.0,19,53.0,18.0,Inwood and Washington Heights
11362,46.0,12,25.0,9.0,Northeast Queens
10075,45.0,32,27.0,18.0,Upper East Side
11360,42.0,10,19.0,3.0,North Queens
11363,41.0,8,10.0,4.0,Northeast Queens
10004,37.0,16,12.0,5.0,Lower Manhattan
10039,34.0,9,51.0,22.0,Central Harlem
10000,32.0,16,13.0,2.0,
10006,26.0,13,9.0,4.0,Lower Manhattan
10307,23.0,7,19.0,8.0,South Shore
11430,17.0,1,4.0,0.0,
10005,16.0,13,8.0,5.0,Lower Manhattan
11001,16.0,2,2.0,0.0,
11040,16.0,3,15.0,2.0,
10020,12.0,10,9.0,3.0,Chelsea and Clinton
10302,7.0,2,3.0,1.0,Port Richmond
10168,6.0,0,1.0,1.0,
10280,4.0,2,5.0,4.0,Lower Manhattan
10169,4.0,2,0.0,0.0,
10069,3.0,3,4.0,3.0,
10119,3.0,2,1.0,1.0,
10121,3.0,3,0.0,0.0,
10282,3.0,2,1.0,0.0,
10172,3.0,2,1.0,1.0,
11109,3.0,2,0.0,0.0,
10118,2.0,1,0.0,0.0,
10165,2.0,2,1.0,1.0,
11697,2.0,1,3.0,0.0,Rockaways
10041,1.0,0,0.0,0.0,
10103,1.0,1,0.0,0.0,
10123,1.0,0,0.0,0.0,
10105,1.0,1,2.0,0.0,
10106,1.0,1,0.0,0.0,
10278,1.0,0,0.0,0.0,
10170,0.0,0,0.0,0.0,
10112,0.0,0,1.0,1.0,
11005,0.0,0,1.0,1.0,Southeast Queens
11359,0.0,0,0.0,0.0,North Queens
10281,0.0,0,2.0,2.0,
10055,0.0,0,0.0,0.0,
10279,0.0,0,0.0,0.0,
10107,0.0,0,0.0,0.0,
10110,0.0,0,0.0,0.0,
10111,0.0,0,0.0,0.0,
10115,0.0,0,0.0,0.0,
10171,0.0,0,0.0,0.0,
10271,0.0,0,0.0,0.0,
10179,0.0,0,0.0,0.0,
10120,0.0,0,0.0,0.0,
10178,0.0,0,0.0,0.0,
10122,0.0,0,0.0,0.0,
10151,0.0,0,0.0,0.0,
10152,0.0,0,0.0,0.0,
10153,0.0,0,0.0,0.0,
10177,0.0,0,0.0,0.0,
10155,0.0,0,0.0,0.0,
10173,0.0,0,0.0,0.0,
10167,0.0,0,0.0,0.0,
10154,0.0,0,0.0,0.0,
